,Title,Artist,URL
79,Rolling In The Deep,Adele,https://tabs.ultimate-guitar.com/tab/adele/rolling-in-the-deep-guitar-pro-1040057
80,Hotel California,Eagles,https://tabs.ultimate-guitar.com/tab/eagles/hotel-california-guitar-pro-275557
81,Knights Of Cydonia,Muse,https://tabs.ultimate-guitar.com/tab/muse/knights-of-cydonia-guitar-pro-390878
82,Under The Bridge,Red Hot Chili Peppers,https://tabs.ultimate-guitar.com/tab/red-hot-chili-peppers/under-the-bridge-guitar-pro-420153
83,Snow Hey Oh,Red Hot Chili Peppers,https://tabs.ultimate-guitar.com/tab/red-hot-chili-peppers/snow-hey-oh-guitar-pro-361619
84,Are You Gonna Be My Girl,Jet,https://tabs.ultimate-guitar.com/tab/jet/are-you-gonna-be-my-girl-guitar-pro-249304
85,Black Dog,Led Zeppelin,https://tabs.ultimate-guitar.com/tab/led-zeppelin/black-dog-guitar-pro-223708
86,Free Bird,Lynyrd Skynyrd,https://tabs.ultimate-guitar.com/tab/lynyrd-skynyrd/free-bird-guitar-pro-224312
87,Unholy Confessions,Avenged Sevenfold,https://tabs.ultimate-guitar.com/tab/avenged-sevenfold/unholy-confessions-guitar-pro-214578
88,Ace Of Spades,Motörhead,https://tabs.ultimate-guitar.com/tab/398494
89,Beat It,Michael Jackson,https://tabs.ultimate-guitar.com/tab/michael-jackson/beat-it-guitar-pro-222316
90,Yesterday,The Beatles,https://tabs.ultimate-guitar.com/tab/the-beatles/yesterday-guitar-pro-273460
91,Reptilia,The Strokes,https://tabs.ultimate-guitar.com/tab/the-strokes/reptilia-guitar-pro-319688
92,Under The Bridge,Red Hot Chili Peppers,https://tabs.ultimate-guitar.com/tab/red-hot-chili-peppers/under-the-bridge-guitar-pro-846770
93,Pirates Of The Caribbean - Hes A Pirate,Misc Soundtrack,https://tabs.ultimate-guitar.com/tab/misc-soundtrack/pirates-of-the-caribbean-hes-a-pirate-guitar-pro-710490
94,Sweet Dreams Are Made Of This,Marilyn Manson,https://tabs.ultimate-guitar.com/tab/marilyn-manson/sweet-dreams-are-made-of-this-guitar-pro-254500
