,Title,Artist,URL,Check
66,Maria Maria,Santana,https://tabs.ultimate-guitar.com/tab/santana/maria-maria-guitar-pro-230536,False
67,Lookin Out My Back Door,Creedence Clearwater Revival,https://tabs.ultimate-guitar.com/tab/creedence-clearwater-revival/lookin-out-my-back-door-guitar-pro-217171,False
68,In The Name Of God,Dream Theater,https://tabs.ultimate-guitar.com/tab/dream-theater/in-the-name-of-god-guitar-pro-735652,False
69,I Dont Care,Fall Out Boy,https://tabs.ultimate-guitar.com/tab/fall-out-boy/i-dont-care-guitar-pro-812488,False
70,Wonderwall,Oasis,https://tabs.ultimate-guitar.com/tab/oasis/wonderwall-guitar-pro-245915,False
71,Know Your Enemy,Green Day,https://tabs.ultimate-guitar.com/tab/green-day/know-your-enemy-guitar-pro-814177,False
72,Mk Ultra,Muse,https://tabs.ultimate-guitar.com/tab/muse/mk-ultra-guitar-pro-873640,False
73,Surrender,Billy Talent,https://tabs.ultimate-guitar.com/tab/billy-talent/surrender-guitar-pro-647781,False
74,Stop Crying Your Heart Out,Oasis,https://tabs.ultimate-guitar.com/tab/oasis/stop-crying-your-heart-out-guitar-pro-227406,False
75,Madness,Muse,https://tabs.ultimate-guitar.com/tab/muse/madness-guitar-pro-1178084,False
76,I Cant Dance,Genesis,https://tabs.ultimate-guitar.com/tab/genesis/i-cant-dance-guitar-pro-219884,False
77,In The Air Tonight,Phil Collins,https://tabs.ultimate-guitar.com/tab/phil-collins/in-the-air-tonight-guitar-pro-216874,False
78,My Love,Westlife,https://tabs.ultimate-guitar.com/tab/westlife/my-love-guitar-pro-632791,False
79,Have Faith In Me,A Day to Remember,https://tabs.ultimate-guitar.com/tab/a-day-to-remember/have-faith-in-me-guitar-pro-884356,False
80,Always On My Mind,Elvis Presley,https://tabs.ultimate-guitar.com/tab/elvis-presley/always-on-my-mind-guitar-pro-424632,False
81,The Zephyr Song,Red Hot Chili Peppers,https://tabs.ultimate-guitar.com/tab/red-hot-chili-peppers/the-zephyr-song-guitar-pro-530698,False
82,Lily Was Here,Dave Stewart,https://tabs.ultimate-guitar.com/tab/dave-stewart/lily-was-here-guitar-pro-733547,False
83,Biarlah,Killing Me Inside,https://tabs.ultimate-guitar.com/tab/killing-me-inside/biarlah-guitar-pro-1004965,False
84,Cheap Sunglasses,ZZ Top,https://tabs.ultimate-guitar.com/tab/zz-top/cheap-sunglasses-guitar-pro-235236,False
85,Miss You,The Rolling Stones,https://tabs.ultimate-guitar.com/tab/the-rolling-stones/miss-you-guitar-pro-813422,False
86,Only One,Yellowcard,https://tabs.ultimate-guitar.com/tab/yellowcard/only-one-guitar-pro-235093,False
87,Foreplay Long Time,Boston,https://tabs.ultimate-guitar.com/tab/boston/foreplay-long-time-guitar-pro-697093,False
88,Love Of My Life,Queen,https://tabs.ultimate-guitar.com/tab/queen/love-of-my-life-guitar-pro-256128,False
89,Child In Time,Deep Purple,https://tabs.ultimate-guitar.com/tab/deep-purple/child-in-time-guitar-pro-859901,False
90,Appetite For Destruction,Guns N' Roses,https://tabs.ultimate-guitar.com/tab/guns-n-roses/appetite-for-destruction-guitar-pro-1006554,False
91,Teenage Dream,Katy Perry,https://tabs.ultimate-guitar.com/tab/katy-perry/teenage-dream-guitar-pro-987971,False
92,Dont Dream Its Over,Crowded House,https://tabs.ultimate-guitar.com/tab/crowded-house/dont-dream-its-over-guitar-pro-217205,False
93,Over The Hills And Far Away,Gary Moore,https://tabs.ultimate-guitar.com/tab/gary-moore/over-the-hills-and-far-away-guitar-pro-893196,False
94,Fiction,Avenged Sevenfold,https://tabs.ultimate-guitar.com/tab/avenged-sevenfold/fiction-guitar-pro-970964,False
95,Kiss Me,New Found Glory,https://tabs.ultimate-guitar.com/tab/new-found-glory/kiss-me-guitar-pro-632336,False
96,Learning To Live,Dream Theater,https://tabs.ultimate-guitar.com/tab/dream-theater/learning-to-live-guitar-pro-526984,False
97,99 Luftballons,Nena,https://tabs.ultimate-guitar.com/tab/nena/99-luftballons-guitar-pro-226687,False
98,Sons Of Winter And Stars,Wintersun,https://tabs.ultimate-guitar.com/tab/wintersun/sons-of-winter-and-stars-guitar-pro-1202374,False
99,Cigarettes And Alcohol,Oasis,https://tabs.ultimate-guitar.com/tab/oasis/cigarettes-and-alcohol-guitar-pro-245902,False
100,Asche Zu Asche,Rammstein,https://tabs.ultimate-guitar.com/tab/rammstein/asche-zu-asche-guitar-pro-229505,False
101,Burn It Down,Avenged Sevenfold,https://tabs.ultimate-guitar.com/tab/avenged-sevenfold/burn-it-down-guitar-pro-707661,False
102,Accidentally In Love,Counting Crows,https://tabs.ultimate-guitar.com/tab/counting-crows/accidentally-in-love-guitar-pro-472603,False
103,New York New York,Frank Sinatra,https://tabs.ultimate-guitar.com/tab/frank-sinatra/new-york-new-york-guitar-pro-247879,False
104,With Or Without You,U2,https://tabs.ultimate-guitar.com/tab/u2/with-or-without-you-guitar-pro-960826,False
